Highway,County,Freight count location,Day of Date1,Percentage Change
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"June 3, 2020",-30%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"June 2, 2020",-32%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"June 1, 2020",-27%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 31, 2020",-30%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 30, 2020",-40%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 29, 2020",-25%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 28, 2020",-28%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 27, 2020",-28%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 26, 2020",-28%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 25, 2020",-21%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 24, 2020",-23%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 23, 2020",-23%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 22, 2020",-26%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 21, 2020",-36%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 20, 2020",-38%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 19, 2020",-38%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 18, 2020",-33%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 17, 2020",-34%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 16, 2020",-40%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 15, 2020",-30%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 14, 2020",-27%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 13, 2020",-35%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 12, 2020",-33%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 11, 2020",-36%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 10, 2020",-31%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 9, 2020",-35%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 8, 2020",-35%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 7, 2020",-37%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 6, 2020",-41%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 5, 2020",-34%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 4, 2020",-42%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 3, 2020",-50%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 2, 2020",-49%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"May 1, 2020",-42%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 30, 2020",-53%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 29, 2020",-47%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 28, 2020",-33%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 27, 2020",-46%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 26, 2020",-48%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 25, 2020",-50%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 24, 2020",-50%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 23, 2020",-51%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 22, 2020",-49%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 21, 2020",-50%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 20, 2020",-48%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 19, 2020",-45%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 18, 2020",-57%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 17, 2020",-45%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 16, 2020",-55%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 15, 2020",-55%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 14, 2020",-51%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 13, 2020",-52%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 12, 2020",-57%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 11, 2020",-57%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 10, 2020",-53%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 9, 2020",-54%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 8, 2020",-55%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 7, 2020",-54%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 6, 2020",-55%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 5, 2020",-64%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 4, 2020",-71%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 3, 2020",-52%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 2, 2020",-51%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"April 1, 2020",-53%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 31, 2020",-48%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 30, 2020",-48%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 29, 2020",-57%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 28, 2020",-64%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 27, 2020",-57%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 26, 2020",-55%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 25, 2020",-50%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 24, 2020",-46%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 23, 2020",-42%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 22, 2020",-45%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 21, 2020",-44%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 20, 2020",-34%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 19, 2020",-35%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 18, 2020",-37%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 17, 2020",-32%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 16, 2020",-23%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 15, 2020",-33%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 14, 2020",-40%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 13, 2020",-18%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 12, 2020",-7%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 11, 2020",-5%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 10, 2020",0%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 9, 2020",2%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 8, 2020",-8%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 7, 2020",-4%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 6, 2020",-6%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 5, 2020",1%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 4, 2020",13%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 3, 2020",3%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 2, 2020",15%
SR 14,Clark,SR 14 at I-205 Jct (Vancouver),"March 1, 2020",3%
I-205,Clark,I-205 at SR 14 (WA/OR border),"June 3, 2020",-17%
I-205,Clark,I-205 at SR 14 (WA/OR border),"June 2, 2020",-17%
I-205,Clark,I-205 at SR 14 (WA/OR border),"June 1, 2020",-13%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 31, 2020",-21%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 30, 2020",-21%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 29, 2020",-17%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 28, 2020",-17%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 27, 2020",-18%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 26, 2020",-16%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 25, 2020",-13%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 24, 2020",-22%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 23, 2020",-27%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 22, 2020",-16%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 21, 2020",-20%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 20, 2020",-21%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 19, 2020",-19%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 18, 2020",-15%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 17, 2020",-35%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 16, 2020",-24%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 15, 2020",-14%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 14, 2020",-22%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 13, 2020",-22%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 12, 2020",-24%
I-205,Clark,I-205 at SR 14 (WA/OR border),"May 11, 2020",-19%
